age,income,debt_ratio,num_loans,missed_payments,credit_history_years,employment_years,savings,defaulted
59,102371,0.219,5,5,16,15,35409,0
49,46519,0.2918,3,0,6,28,15649,0
35,47931,0.3089,4,0,13,5,2122,0
63,15000,0.4185,9,2,12,28,7433,1
28,66423,0.175,1,4,10,8,8622,0
41,62505,0.2384,6,0,5,4,39740,0
59,43740,0.4617,3,0,8,20,13264,0
39,53362,0.2256,1,5,6,22,33579,1
43,28775,0.0347,5,3,5,15,18139,0
31,78968,0.2776,1,4,6,17,20826,0
31,45206,0.2852,9,4,17,18,0,1
44,116880,0.2265,1,5,6,11,2793,0
56,51487,0.0841,6,3,17,1,39396,0
60,39807,0.2252,0,4,5,25,17664,0
44,46753,0.2687,6,1,17,9,24509,0
23,26760,0.2101,9,5,17,11,47095,0
42,64645,0.1278,4,2,13,13,18085,0
22,46602,0.5298,0,3,7,17,17236,0
44,77625,0.0923,5,5,6,18,38091,0
64,49505,0.4121,6,0,14,5,20185,0
50,82688,0.2994,0,4,16,4,24800,0
58,70149,0.1963,8,1,3,26,34952,0
22,55571,0.2231,6,1,9,15,20001,0
41,86604,0.2418,0,2,15,13,31813,0
53,74045,0.1639,2,5,18,12,18262,0
32,113924,0.2438,4,1,10,20,34717,0
42,46810,0.4511,3,5,10,1,26319,1
64,56532,0.1242,1,4,3,1,16618,1
45,86374,0.2262,0,4,1,11,21113,0
69,24129,0.3365,3,1,3,0,0,1
47,81338,0.6063,6,4,5,18,37906,1
62,63786,0.136,3,5,7,27,1180,1
48,37235,0.2188,8,4,3,27,3963,0
36,27739,0.4751,7,0,4,26,13429,1
35,41550,0.2594,7,5,17,15,0,1
67,15000,0.4971,4,3,3,29,27014,1
64,45209,0.1658,0,4,4,6,25415,0
23,67451,0.3998,8,4,2,26,12701,1
57,45473,0.4142,1,5,14,20,9829,1
27,82766,0.179,5,2,5,6,9599,0
41,88198,0.727,9,3,2,15,29221,1
29,80512,0.5371,4,3,15,24,0,0
59,59612,0.1692,9,3,11,5,13865,1
38,15000,0.5812,7,1,10,17,0,1
24,40926,0.1976,2,0,1,0,31531,0
45,52159,0.0576,5,0,19,0,14956,0
34,37122,0.4833,5,2,14,25,28201,0
29,52209,0.1424,9,3,14,24,38743,0
46,87201,0.3738,2,3,1,13,38996,0
22,22084,0.0734,6,4,9,5,4668,0
40,91233,0.3975,3,5,17,5,24641,0
48,72694,0.4691,4,1,14,3,36820,0
67,60364,0.3047,8,1,13,11,30447,0
27,40727,0.5033,5,2,13,29,31929,0
64,37520,0.6048,9,0,6,17,0,1
28,22475,0.2165,3,3,7,9,30217,1
67,89335,0.6591,7,5,2,2,8106,1
55,85752,0.2907,8,2,8,2,29970,0
34,26874,0.0475,9,1,6,7,29642,0
37,43947,0.0587,4,1,3,21,28848,0
56,63662,0.1901,1,1,18,22,18340,0
60,49009,0.2968,5,3,18,24,39741,0
24,16626,0.4025,7,3,6,0,27654,1
22,41844,0.5495,4,3,11,17,24822,1
26,94020,0.2786,0,4,3,14,5983,0
62,43200,0.4684,7,0,16,24,25941,0
24,51730,0.0928,8,1,5,20,49680,0
49,32096,0.3222,0,1,2,19,0,1
38,66755,0.4261,7,4,15,16,30951,1
46,57303,0.0615,9,1,16,24,32843,0
64,40159,0.4552,1,1,7,10,45882,0
54,28906,0.1222,3,3,16,12,30886,0
30,83090,0.2446,1,3,4,24,20160,0
56,22889,0.037,1,0,16,19,26339,0
34,65076,0.1225,9,1,17,24,15979,0
51,15000,0.1801,2,2,2,9,38288,0
68,69144,0.2529,7,1,16,12,0,0
35,74405,0.2333,3,1,4,16,12681,0
28,76895,0.5681,6,0,7,20,26692,0
34,51775,0.2041,9,2,18,0,37563,1
43,86680,0.23,2,1,6,19,19793,0
60,101155,0.351,9,5,18,15,8264,1
41,48567,0.3743,2,5,7,15,16836,0
36,45979,0.2197,1,2,2,27,14495,0
65,57983,0.2143,5,5,19,20,15185,0
38,45446,0.2743,5,3,9,29,13472,0
67,42522,0.2754,0,3,4,26,13478,0
44,44265,0.2823,6,2,14,2,0,0
46,89315,0.7754,3,1,5,1,24502,1
45,70437,0.1319,2,2,7,5,30121,0
65,45381,0.2647,7,5,8,10,42475,1
61,15000,0.1118,1,2,15,28,32906,0
49,24110,0.4954,8,5,19,2,32140,1
35,65068,0.2038,7,3,11,25,24440,0
65,15000,0.0539,7,2,4,0,0,0
21,60859,0.2481,2,4,18,10,24202,0
45,33688,0.4439,3,5,14,12,21685,1
27,56836,0.0263,1,4,6,4,35448,0
29,56277,0.2499,1,3,16,17,28512,0
44,57411,0.1011,3,1,18,14,18051,0
21,47111,0.0584,5,5,1,17,49372,1
64,46454,0.1684,4,1,8,14,32726,0
28,40584,0.0862,0,3,1,19,25097,0
44,64677,0.2466,9,1,1,19,26829,1
31,71103,0.1241,0,5,19,19,20917,0
37,30620,0.5958,5,0,10,6,20247,0
28,53967,0.0787,2,5,18,16,0,0
55,58931,0.3227,2,5,12,28,6273,0
55,58675,0.3303,6,4,17,7,11886,0
53,58335,0.2704,0,0,1,27,26759,0
25,46959,0.1191,0,0,8,12,0,0
62,60580,0.427,9,0,10,25,12182,0
59,67360,0.256,2,5,10,15,10260,0
61,57820,0.6961,7,3,18,24,21751,1
48,65118,0.5711,0,0,9,9,26796,0
27,74807,0.7348,9,2,2,28,10312,1
29,17981,0.2903,3,1,3,13,11390,0
28,73869,0.3243,8,3,2,5,9795,1
32,61848,0.5642,3,2,6,19,14148,1
54,32767,0.5266,9,5,12,21,19232,1
53,71049,0.2072,7,5,19,25,39726,0
68,47033,0.23,6,2,15,6,4812,0
43,49760,0.0977,2,4,19,5,46262,0
44,44846,0.4917,6,4,12,26,1492,1
57,61047,0.1306,6,2,18,16,34319,0
55,39292,0.1413,9,4,16,20,12863,1
64,73029,0.1406,2,1,2,23,6335,0
60,52222,0.2346,1,1,11,7,39753,0
42,47715,0.5203,8,5,12,11,21226,1
47,70057,0.0892,0,4,5,25,20652,0
55,48608,0.1618,6,0,6,24,15843,0
21,73963,0.2087,3,2,11,3,11278,0
55,74591,0.0925,1,1,10,9,17347,0
57,28303,0.233,1,4,4,5,0,0
67,77185,0.5309,7,4,9,6,0,1
34,25759,0.1429,6,1,12,20,25884,0
23,78431,0.0765,6,1,10,26,37741,0
21,95567,0.4382,4,0,14,7,40453,0
25,72496,0.382,9,4,5,2,5645,1
46,15000,0.2679,7,4,1,7,22892,1
34,76271,0.2331,1,3,5,14,0,0
59,99922,0.4127,1,5,16,29,14729,0
47,48939,0.0839,4,0,5,20,32355,0
29,54305,0.0643,0,1,5,0,19737,0
35,31230,0.0418,5,1,18,12,15023,0
35,61241,0.0517,3,2,6,21,19800,0
46,80383,0.2406,5,5,18,17,39242,0
62,68954,0.7186,6,1,10,14,16329,1
33,117839,0.1785,2,4,15,6,21089,0
52,55660,0.2184,7,1,11,14,42790,0
59,22386,0.038,6,4,19,24,16575,0
69,58419,0.1819,0,4,13,2,0,0
52,15000,0.2932,5,0,3,29,40526,0
24,44337,0.1137,6,1,16,25,35233,0
50,87487,0.2185,3,0,7,13,0,0
57,61502,0.3448,1,5,12,19,18047,1
43,58588,0.3236,9,4,15,3,19667,1
59,91415,0.3949,8,5,8,3,40529,1
65,49588,0.4279,6,1,17,2,19784,0
35,80236,0.2166,0,5,1,4,22488,0
63,57586,0.6705,7,5,8,24,22954,1
